id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
5804,signalrents.com,rentmanager,signal.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-20T08:27:32.035767,2026-02-24 07:00:50,2026-02-24 07:00:50
5805,sierraprop.com,unknown,,low,not_found,0,,,2026-02-20T08:27:15.431247,2026-02-24 07:00:50,2026-02-24 07:00:50
5806,signaturemanagementca.com,unknown,,low,not_found,0,,,2026-02-20T08:27:33.142466,2026-02-24 07:00:50,2026-02-24 07:00:50
5807,signaturemanagementcorp.com,appfolio,signaturemanagementcorp.appfolio.com,high,subdomain_probe,1,https://signaturemanagementcorp.com,,2026-02-20T08:28:00.147192,2026-02-24 07:00:50,2026-02-24 07:00:50
5808,signaturepropertymgmt.com,vantaca,,high,homepage_fetch,0,,,2026-02-20T08:28:47.559894,2026-02-24 07:00:50,2026-02-24 07:00:50
5809,signaturepropertyprofessionals.com,appfolio,signatureproperty.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:28:47.955316,2026-02-24 07:00:50,2026-02-24 07:00:50
5810,signaturenevada.com,unknown,,low,not_found,0,,,2026-02-20T08:28:26.285250,2026-02-24 07:00:50,2026-02-24 07:00:50
5811,sigrentals.com,appfolio,sigpm.appfolio.com,high,homepage_fetch,1,http://www.sigrentals.com,,2026-02-20T08:29:12.968439,2026-02-24 07:00:50,2026-02-24 07:00:50
5812,sherrihoban.com,unknown,,low,not_found,0,,,2026-02-20T07:55:48.518921,2026-02-24 07:00:50,2026-02-24 07:00:50
5813,shorelinedaytona.com,unknown,,low,not_found,0,,,2026-02-20T07:56:32.440149,2026-02-24 07:00:50,2026-02-24 07:00:50
5814,signaturevacationproperties.com,unknown,,low,not_found,0,,,2026-02-20T08:28:48.674821,2026-02-24 07:00:50,2026-02-24 07:00:50
5815,silvercreekpm.com,appfolio,silvercreek.appfolio.com,high,homepage_fetch,1,http://www.silvercreekpm.com,,2026-02-20T08:29:51.318637,2026-02-24 07:00:50,2026-02-24 07:00:50
5816,silverleafprop.com,appfolio,silverleafpmgmt.appfolio.com,high,homepage_fetch,1,http://www.silverleafprop.com,,2026-02-20T08:29:52.270511,2026-02-24 07:00:50,2026-02-24 07:00:50
5817,silverpropertygroup.com,appfolio,silverpropertygroup.appfolio.com,high,homepage_fetch,1,http://www.silverpropertygroup.com,,2026-02-20T08:29:52.925149,2026-02-24 07:00:50,2026-02-24 07:00:50
5818,silversidemanagement.com,appfolio,silversidemgmt.appfolio.com,high,homepage_fetch,1,http://www.silversidemanagement.com,,2026-02-20T08:29:53.979062,2026-02-24 07:00:50,2026-02-24 07:00:50
5819,siguaenterprises.com,unknown,,low,not_found,0,,,2026-02-20T08:29:13.729851,2026-02-24 07:00:50,2026-02-24 07:00:50
5820,simplepmgroup.com,appfolio,simplehomemanagement.appfolio.com,high,secondary_page:/tenants/,1,http://www.simplepmgroup.com,,2026-02-20T08:29:58.368348,2026-02-24 07:00:50,2026-02-24 07:00:50
5821,silvercreekam.com,unknown,,low,not_found,0,,,2026-02-20T08:29:29.878736,2026-02-24 07:00:50,2026-02-24 07:00:50
5822,silverimanagement.com,unknown,,low,not_found,0,,,2026-02-20T08:29:51.415670,2026-02-24 07:00:50,2026-02-24 07:00:50
5823,simplyhomerealty.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-20T08:30:49.726656,2026-02-24 07:00:50,2026-02-24 07:00:50
5824,simplymanagedpm.com,appfolio,simplymanaged.appfolio.com,high,homepage_fetch,1,,,2026-02-20T08:30:50.513804,2026-02-24 07:00:50,2026-02-24 07:00:50
5825,simplymgt.com,appfolio,simplymgt.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:30:53.633037,2026-02-24 07:00:50,2026-02-24 07:00:50
5826,simbapropertymanagement.com,unknown,,low,not_found,0,,,2026-02-20T08:29:54.936749,2026-02-24 07:00:50,2026-02-24 07:00:50
5827,simplepropertymanagement.co,unknown,,low,not_found,0,,,2026-02-20T08:30:03.669493,2026-02-24 07:00:50,2026-02-24 07:00:50
5828,simpsoncompany.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:31:07.772731,2026-02-24 07:00:50,2026-02-24 07:00:50
5829,sinatraandcompany.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:31:09.064876,2026-02-24 07:00:50,2026-02-24 07:00:50
5830,simplybetterhomes.com,unknown,,low,not_found,0,,,2026-02-20T08:30:24.610430,2026-02-24 07:00:50,2026-02-24 07:00:50
5831,sisirealty.com,buildium,sisiproperty.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:31:28.157818,2026-02-24 07:00:50,2026-02-24 07:00:50
5832,sixtysixmanagement.com,rentmanager,ownerwebaccess.rentmanager.com,high,homepage_fetch,0,,,2026-02-20T08:31:28.422036,2026-02-24 07:00:50,2026-02-24 07:00:50
5833,simplysantafehomes.com,unknown,,low,not_found,0,,,2026-02-20T08:30:58.358098,2026-02-24 07:00:50,2026-02-24 07:00:50
5834,sjcmanagement.com,rentmanager,sjcmg.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-20T08:31:49.340731,2026-02-24 07:00:50,2026-02-24 07:00:50
5835,skalerealestate.com,appfolio,skale.appfolio.com,high,homepage_fetch,1,http://skalerealestate.com,,2026-02-20T08:31:50.154460,2026-02-24 07:00:50,2026-02-24 07:00:50
5836,skbmanagement.com,appfolio,skbmanagement.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:31:52.737314,2026-02-24 07:00:50,2026-02-24 07:00:50
5837,skcpropertymanagement.com,buildium,skcpropertymanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:31:53.642008,2026-02-24 07:00:50,2026-02-24 07:00:50
5838,siouxfallsrentalguy.com,unknown,,low,not_found,0,,,2026-02-20T08:31:09.497960,2026-02-24 07:00:50,2026-02-24 07:00:50
5839,skybridgeproperty.com,buildium,,high,homepage_fetch,0,,,2026-02-20T08:31:57.467875,2026-02-24 07:00:50,2026-02-24 07:00:50
5840,skyemanage.com,appfolio,skyemgmt.appfolio.com,high,homepage_fetch,1,http://www.skyemanage.com,,2026-02-20T08:31:59.855840,2026-02-24 07:00:50,2026-02-24 07:00:50
5841,skyhomerentals.com,buildium,skyhomerentals.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:32:00.562720,2026-02-24 07:00:50,2026-02-24 07:00:50
5842,simplyresidentialpropertymanagement.com,unknown,,low,not_found,0,,,2026-02-20T08:30:54.566961,2026-02-24 07:00:50,2026-02-24 07:00:50
5843,skylinerealty.com,buildium,skylinerealty.managebuilding.com,high,secondary_page:/tenants/,0,,,2026-02-20T08:32:01.357102,2026-02-24 07:00:50,2026-02-24 07:00:50
5844,skymanagement.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:32:05.558479,2026-02-24 07:00:50,2026-02-24 07:00:50
5845,skypropertiesinc.com,appfolio,skyproperties.appfolio.com,high,secondary_page:/residents/,1,http://skypropertiesinc.com,,2026-02-20T08:32:06.629098,2026-02-24 07:00:50,2026-02-24 07:00:50
5846,skypropmgmt.com,appfolio,skypm.appfolio.com,high,homepage_fetch,1,http://skypropmgmt.com,,2026-02-20T08:32:10.433431,2026-02-24 07:00:50,2026-02-24 07:00:50
5847,skywater-realty.com,buildium,skywaterrealty.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:32:11.179246,2026-02-24 07:00:50,2026-02-24 07:00:50
5848,skywestpm.com,appfolio,skywestpm.appfolio.com,high,homepage_fetch,1,http://www.skywestpm.com,,2026-02-20T08:32:11.307573,2026-02-24 07:00:50,2026-02-24 07:00:50
5849,sixtysixonline.com,unknown,,low,not_found,0,,,2026-02-20T08:31:28.667375,2026-02-24 07:00:50,2026-02-24 07:00:50
5850,skidmorerealty.net,unknown,,low,not_found,0,,,2026-02-20T08:31:54.316999,2026-02-24 07:00:50,2026-02-24 07:00:50
5851,slpm.com,appfolio,slpm2.appfolio.com,high,homepage_fetch,1,,,2026-02-20T08:32:52.298868,2026-02-24 07:00:50,2026-02-24 07:00:50
5852,slrealty.net,appfolio,sharonlandrumrealty.appfolio.com,high,homepage_fetch,1,http://slandrum@slrealty.net,,2026-02-20T08:32:53.214362,2026-02-24 07:00:50,2026-02-24 07:00:50
5853,sltproperties.com,rentvine,sltpropertiesllc.rentvine.com,high,homepage_fetch,0,,,2026-02-20T08:32:53.935658,2026-02-24 07:00:50,2026-02-24 07:00:50
5854,slumberspokane.com,appfolio,slumberspokane.appfolio.com,high,homepage_fetch,1,http://www.slumberspokane.com,,2026-02-20T08:32:54.858339,2026-02-24 07:00:50,2026-02-24 07:00:50
5855,slvrst.com,guesty,slvrst.guestyowners.com,high,homepage_fetch,0,,,2026-02-20T08:32:55.488187,2026-02-24 07:00:50,2026-02-24 07:00:50
5856,sm1properties.com,buildium,sm1management.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:32:56.556623,2026-02-24 07:00:50,2026-02-24 07:00:50
5857,skylinerealtygrp.com,unknown,,low,not_found,0,,,2026-02-20T08:32:04.387295,2026-02-24 07:00:50,2026-02-24 07:00:50
5858,slatehousegroup.com,appfolio,slatehouse.appfolio.com,high,subdomain_probe,1,http://www.slatehousegroup.com,,2026-02-20T08:32:12.277383,2026-02-24 07:00:50,2026-02-24 07:00:50
5859,smartdigs.com,rentmanager,cbinc.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-20T08:33:02.605748,2026-02-24 07:00:50,2026-02-24 07:00:50
5860,smartmanagementny.com,managego,smart.managego.com,high,homepage_fetch,0,,,2026-02-20T08:33:04.402546,2026-02-24 07:00:50,2026-02-24 07:00:50
5861,smartmovepm.com,rentmanager,capitalpm.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-20T08:33:06.659598,2026-02-24 07:00:50,2026-02-24 07:00:50
5862,smartpropertyservicesinc.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:33:07.192877,2026-02-24 07:00:50,2026-02-24 07:00:50
5863,slnusbaum.com,unknown,,low,not_found,0,,,2026-02-20T08:32:25.476064,2026-02-24 07:00:50,2026-02-24 07:00:50
5864,smallofficesuites.com,unknown,,low,not_found,0,,,2026-02-20T08:32:57.024382,2026-02-24 07:00:50,2026-02-24 07:00:50
5865,smartcashforyourhome.com,unknown,,low,not_found,0,,,2026-02-20T08:32:57.640061,2026-02-24 07:00:50,2026-02-24 07:00:50
5866,smgrent.net,unknown,,low,not_found,0,,,2026-02-20T08:33:12.002042,2026-02-24 07:00:50,2026-02-24 07:00:50
5867,smithmgmt.com,townsq,app.townsq.io,high,homepage_fetch,0,,,2026-02-20T08:33:58.732733,2026-02-24 07:00:50,2026-02-24 07:00:50
5868,smc-lv.com,unknown,,low,not_found,0,,,2026-02-20T08:33:07.618409,2026-02-24 07:00:50,2026-02-24 07:00:50
5869,smithpropertymgmt.com,buildium,smithrentals.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:34:24.731006,2026-02-24 07:00:50,2026-02-24 07:00:50
5870,smithtandy.com,appfolio,smithtandy.appfolio.com,high,homepage_fetch,1,http://www.smithtandy.com,,2026-02-20T08:34:27.051283,2026-02-24 07:00:50,2026-02-24 07:00:50
5871,smokerproperty.com,appfolio,smokerpropertymgmt.appfolio.com,high,homepage_fetch,1,http://www.smokerproperty.com,,2026-02-20T08:34:27.807506,2026-02-24 07:00:50,2026-02-24 07:00:50
5872,smilesrealtyllc.wixsite.com,unknown,,low,not_found,0,,,2026-02-20T08:33:41.872227,2026-02-24 07:00:50,2026-02-24 07:00:50
5873,smiley-and-associates.com,unknown,,low,not_found,0,,,2026-02-20T08:33:52.483084,2026-02-24 07:00:50,2026-02-24 07:00:50
5874,smithmgt.com,unknown,,low,not_found,0,,,2026-02-20T08:33:58.868934,2026-02-24 07:00:50,2026-02-24 07:00:50
5875,snappropertymanagement.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-20T08:34:53.352065,2026-02-24 07:00:50,2026-02-24 07:00:50
5876,smokymountainrealestatecorp.com,unknown,,low,not_found,0,,,2026-02-20T08:34:29.266814,2026-02-24 07:00:50,2026-02-24 07:00:50
5877,snphomes.com,custom:mysnphomes.com,,medium,homepage_custom_portal,0,,,2026-02-20T08:35:23.596977,2026-02-24 07:00:50,2026-02-24 07:00:50
5878,snrpropertymanagement.com,appfolio,snrnwprop.appfolio.com,high,homepage_fetch,1,http://www.snrpropertymanagement.com/,,2026-02-20T08:35:27.344537,2026-02-24 07:00:50,2026-02-24 07:00:50
5879,smspropmgt.com,unknown,,low,not_found,0,,,2026-02-20T08:34:42.749740,2026-02-24 07:00:50,2026-02-24 07:00:50
5880,sns-management.com,appfolio,snsmgmt.appfolio.com,high,homepage_fetch,1,http://www.sns-management.com,,2026-02-20T08:35:28.057270,2026-02-24 07:00:50,2026-02-24 07:00:50
5881,snyderandsnyder.com,buildium,snyderandsnyder.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:35:28.910905,2026-02-24 07:00:50,2026-02-24 07:00:50
5882,soborental.com,buildium,sobo.managebuilding.com,high,homepage_fetch,0,,,2026-02-20T08:35:29.182444,2026-02-24 07:00:50,2026-02-24 07:00:50
5883,socaldps.com,appfolio,heymingandjohnson.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:35:29.791489,2026-02-24 07:00:50,2026-02-24 07:00:50
5884,snowsmanagement.org,unknown,,low,not_found,0,,,2026-02-20T08:34:57.940873,2026-02-24 07:00:50,2026-02-24 07:00:50
5885,smuvrentals.com,unknown,,low,not_found,0,,,2026-02-20T08:34:45.632496,2026-02-24 07:00:50,2026-02-24 07:00:50
5886,snshn.co,unknown,,low,not_found,0,,,2026-02-20T08:35:28.277599,2026-02-24 07:00:50,2026-02-24 07:00:50
5887,socalhoa.com,unknown,,low,not_found,0,,,2026-02-20T08:35:32.421763,2026-02-24 07:00:50,2026-02-24 07:00:50
5888,sociallivingre.com,unknown,,low,not_found,0,,,2026-02-20T08:36:00.492552,2026-02-24 07:00:50,2026-02-24 07:00:50
5889,socalpropertymanagement.com,unknown,,low,not_found,0,,,2026-02-20T08:35:52.750424,2026-02-24 07:00:50,2026-02-24 07:00:50
5890,sociosbnb.com,unknown,,low,not_found,0,,,2026-02-20T08:36:12.571738,2026-02-24 07:00:50,2026-02-24 07:00:50
5891,sodastays.com,unknown,,low,not_found,0,,,2026-02-20T08:36:17.037486,2026-02-24 07:00:50,2026-02-24 07:00:50
5892,sokyrentals.com,appfolio,darrelsweets.appfolio.com,high,homepage_fetch,1,,,2026-02-20T08:37:02.297390,2026-02-24 07:00:50,2026-02-24 07:00:50
5893,soldbyjonesrentalhomes.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:37:03.101393,2026-02-24 07:00:50,2026-02-24 07:00:50
5894,sofosrealty.com,yardi,,low,recovery:dns_spf,0,,,2026-02-20T08:36:49.251262,2026-02-24 07:00:50,2026-02-24 07:00:50
5895,soldiersofrealestate.com,buildium,shawn3.managebuilding.com,high,secondary_page:/home-renting-leasing-tips/,0,,,2026-02-20T08:37:03.240666,2026-02-24 07:00:50,2026-02-24 07:00:50
5896,sohumrealty.com,buildium,sohum.managebuilding.com,medium,subdomain_probe,1,,,2026-02-20T08:36:58.551094,2026-02-24 07:00:50,2026-02-24 07:00:50
5897,solidfoundationproperties.com,unknown,,low,not_found,0,,,2026-02-20T08:37:03.409363,2026-02-24 07:00:50,2026-02-24 07:00:50
5898,solidrockar.com,unknown,,low,not_found,0,,,2026-02-20T08:37:42.163655,2026-02-24 07:00:50,2026-02-24 07:00:50
5899,solidrockpropertymgmt.com,appfolio,solidrockpropertymanagement.appfolio.com,high,subdomain_probe,1,http://www.solidrockpropertymgmt.com,,2026-02-20T08:37:45.562759,2026-02-24 07:00:50,2026-02-24 07:00:50
5900,solutionsrentalsfl.com,rentvine,account.rentvine.com,high,homepage_fetch,0,,,2026-02-20T08:38:35.948807,2026-02-24 07:00:50,2026-02-24 07:00:50
5901,somaflats.com,appfolio,southeastmgmtco.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:38:36.680841,2026-02-24 07:00:50,2026-02-24 07:00:50
5902,solstice.us.com,unknown,,low,not_found,0,,,2026-02-20T08:37:51.593523,2026-02-24 07:00:50,2026-02-24 07:00:50
5903,somgmt.com,appfolio,southernmanagement.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:38:53.472787,2026-02-24 07:00:50,2026-02-24 07:00:50
5904,solutionspropertymanagement.vegas,unknown,,low,not_found,0,,,2026-02-20T08:38:07.647266,2026-02-24 07:00:50,2026-02-24 07:00:50
5905,sonvpm.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:39:02.074014,2026-02-24 07:00:50,2026-02-24 07:00:50
5906,soniatrealty.com,appfolio,rentalpm.appfolio.com,low,homepage_fetch,0,,,2026-02-20T08:39:01.634807,2026-02-24 07:00:50,2026-02-24 07:00:50
5907,soundcityrealty.com,appfolio,soundcityrealty.appfolio.com,high,homepage_fetch,1,http://www.soundcityrealty.com,,2026-02-20T08:39:03.511895,2026-02-24 07:00:50,2026-02-24 07:00:50
5908,soundmanagement.net,appfolio,soundmgmt.appfolio.com,high,homepage_fetch,1,,,2026-02-20T08:39:04.020478,2026-02-24 07:00:50,2026-02-24 07:00:50
5909,soundpm.com,appfolio,soundpm.appfolio.com,high,homepage_fetch,1,http://www.soundpm.com,,2026-02-20T08:39:05.054887,2026-02-24 07:00:50,2026-02-24 07:00:50
5910,sorola.net,appfolio,sorola.appfolio.com,high,homepage_fetch,1,http://www.sorola.net,,2026-02-20T08:39:02.465018,2026-02-24 07:00:50,2026-02-24 07:00:50
5911,solutionspropertymanagementplus.com,unknown,,low,not_found,0,,,2026-02-20T08:38:28.883317,2026-02-24 07:00:50,2026-02-24 07:00:50
5912,southbendmanagementco.com,tenantcloud,sbmanagement.tenantcloud.com,high,homepage_fetch,0,,,2026-02-20T08:39:15.939776,2026-02-24 07:00:50,2026-02-24 07:00:50
5913,southbendpropertymanagementinc.com,rentvine,pmimichiana.rentvine.com,high,homepage_fetch,0,,,2026-02-20T08:39:16.179341,2026-02-24 07:00:50,2026-02-24 07:00:50
5914,somarpropertymanagement.com,unknown,,low,not_found,0,,,2026-02-20T08:38:37.414421,2026-02-24 07:00:50,2026-02-24 07:00:50
5915,soundwestgroup.com,yardi,,high,link_redirect:followed_link:residents,0,,,2026-02-20T08:39:10.658064,2026-02-24 07:00:50,2026-02-24 07:00:50
5916,soundpointpm.com,unknown,,low,not_found,0,,,2026-02-20T08:39:05.988745,2026-02-24 07:00:50,2026-02-24 07:00:50
5917,southcoasttexas.com,unknown,,low,not_found,0,,,2026-02-20T08:39:17.093773,2026-02-24 07:00:50,2026-02-24 07:00:50
5918,southcreekpark.com,unknown,,low,not_found,0,,,2026-02-20T08:39:32.220156,2026-02-24 07:00:50,2026-02-24 07:00:50
5919,southerncoastmanagement.com,appfolio,southerncoastmgmt.appfolio.com,high,homepage_fetch,1,http://www.southerncoastmanagement.com,,2026-02-20T08:40:17.346577,2026-02-24 07:00:50,2026-02-24 07:00:50
5920,southernbayrealty.net,doorloop,,high,secondary_page:/landlord-vs-tenant-responsibilities/,0,,,2026-02-20T08:39:58.965748,2026-02-24 07:00:50,2026-02-24 07:00:50
5921,southeastcre.com,unknown,,low,not_found,0,,,2026-02-20T08:39:50.142052,2026-02-24 07:00:50,2026-02-24 07:00:50
5922,southernexclusiveproperty.com,appfolio,,high,homepage_fetch,0,,,2026-02-20T08:40:34.574322,2026-02-24 07:00:50,2026-02-24 07:00:50
5923,southerngrouppropertymanagement.com,propertyboss,res_sgp001_133092.propertyboss.net,high,homepage_fetch,0,,,2026-02-20T08:40:34.956867,2026-02-24 07:00:50,2026-02-24 07:00:50
5924,southernlivingpro.com,rentvine,southernlivingpm.rentvine.com,high,homepage_fetch,0,,,2026-02-20T08:40:35.255154,2026-02-24 07:00:50,2026-02-24 07:00:50
